ESCENA;TÍTULO;IN;OUT;DURACIÓN_S;DURACIÓN_MMSS
01;MIRAMAR COMUNIDAD;00:00;01:20;80;01:20
02;OK;01:20;02:05;45;00:45
03;EL CUERPO;02:05;03:25;80;01:20
04;CLAC;03:25;04:25;60;01:00
05;NADIE;04:25;05:25;60;01:00
06;NACE EL CONFLICTO;05:25;06:55;90;01:30
07;PRIMERA INCURSIÓN TERRESTRE;06:55;08:10;75;01:15
08;TERRITORIO;08:10;09:40;90;01:30
09;MAYORÍA SIMPLE;09:40;10:55;75;01:15
10;VOTEN;10:55;12:10;75;01:15
11;MAYORÍA SIMPLE;12:10;13:10;60;01:00
12;NOSOTROS;13:10;14:25;75;01:15
13;DERECHO;14:25;15:40;75;01:15
14;TOGA · BANDERA · REINA;15:40;17:10;90;01:30
15;MÍRENME;17:10;18:25;75;01:15
16;ESTADO;18:25;19:55;90;01:30
17;VIENTO;19:55;21:25;90;01:30
18;EL SOL;21:25;22:40;75;01:15
19;CONFORME A DERECHO;22:40;24:10;90;01:30
20;QUE CONSTE;24:10;25:25;75;01:15
21;EL REINO CABE EN UNA CARPETA;25:25;26:40;75;01:15
22;MIRAMAR;26:40;28:10;90;01:30
23;INNOVAR;28:10;29:40;90;01:30
24;¿QUIÉN GOBIERNA?;29:40;30:55;75;01:15
25;RUMOR;30:55;32:10;75;01:15
26;CENTRO DE DATOS;32:10;33:40;90;01:30
27;MIRA QUIÉN MIRA QUIÉN;33:40;35:10;90;01:30
28;CÓMO SEGUIMOS;35:10;36:40;90;01:30
29;DESARMAR A LA REINA;36:40;39:10;150;02:30
30;DIEZ MINUTOS;39:10;42:40;210;03:30
